도로명, x, y
언주로 110,127.054704829281,37.4854108088377
논현로2길 36,127.053101764261,37.4732789109622
논현로2길 38,127.053244160377,37.4733733628436
언주로 105,127.052677848982,37.4816823655211
개포로28길 28,127.050322770307,37.4773029557679
개포로109길 9,127.075096183121,37.495752092135
개포로 411,127.062319621466,37.4885748916117
개포로109길 21,127.077191033018,37.4956264931259
개포로31길 9-9,127.048777724877,37.479517473746
언주로 103,127.052911761665,37.481343842076
개포로 307,127.056092038196,37.4846310565134
개포로109길 69,127.076127258586,37.4962923064311
논현로2길 61-4,127.05480461731,37.4748147158631
논현로2길 22,127.052383913866,37.4728114269133
개포로 409,127.061169470744,37.4883239313325
선릉로8길 5,127.061290900611,37.4829145756332
삼성로 14,127.068451024326,37.4861548149371
개포로31길 9-5,127.049125065343,37.4795541811187
개포로 516,127.070871480537,37.4891406792843
언주로 107,127.0519554575,37.4835863365345
개포로 303,127.054393140278,37.4832803381496
삼성로4길 17,127.06903483437,37.4879144140576
선릉로18길 12,127.060149178414,37.4843206455437
논현로2길 50,127.054118101709,37.4739392506257
논현로2길 34,127.052957898166,37.4731834684553
논현로2길 62,127.054814821439,37.4743906958706
선릉로 8,127.064153382762,37.480057578933
언주로 3,127.055925867398,37.4767921771121
삼성로 11,127.067960222798,37.4844402093504
개포로 264,127.052228213432,37.4797503513842
개포로15길 32-8,127.045949493558,37.4797772871994
개포로 405,127.060273615454,37.4872157015842
개포로31길 3-12,127.048891362257,37.4793644354194
양재대로 379,127.055214618418,37.4746104462484
논현로4길 28,127.052362259064,37.47320797108
개포로 311,127.056979130923,37.4850427532409
